"Отметка времени","If you weren't on master; what branch were you on? Please use the full code name of the branch, not short hand. The 'origin/' isn't needed.","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","Was this an observer game?","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","When in real life did you start this game?","Did you crash?","If you did crash...","Were you in single-player or multi-player?","Who won the Spanish Civil War?","When did the Spanish Civil War end?","Who won the Indochinese War?","When did the Indochinese civil war end?","Who won the American Civil War?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","When did the 2nd Weltkrieg start?","Who won the Franco-German part of the 2nd Weltkrieg?","Who won the Russo-German part of the 2nd Weltkrieg?","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Did National France land on the mainland?","Did Canada land on Britain?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war?","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war?","Who won the Fourth Balkan War? If one side is close to winning put them down.","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert?","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","Did the Netherlands go socialist?","Which faction did Greece join?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?","If someone intervened in the League War, who was it?"
"2022/08/02 5:45:18 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-08-02","No","","Single-player","CNT-FAI","1939","GEA (with or without Vietnam)","1939","PSA","","","","","PSA","1939","Yes, sided with PSA","Early 1940","Nobody","Nobody","","","1943","","No","1940","","","","","1940","","1940","No","Yes, was repelled","Yes, successfully","Split between starting nations","Peaceful Reunification","Did not end","Did not happen","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Iraq;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","Moscow Accord","1940","Did not happen","Did not happen","Did not happen","Did not happen","Before 1938","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936",""
"2022/08/02 5:45:33 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-02","No","","Single-player","Kingdom of Spain","1942","Indochina","1941","PSA","","","PSA","","","1942","No","Early 1939","Internationale","Russia","1941","","","","No","1940","","","1942","Internationale (not France)","1940","1941","1940","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Argentina","1940","Did not happen","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Entente","1939","Did not happen","Did not happen","1942","Did not happen","Did not happen","Did not happen","Did not happen","Started by Russia","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Anqing Clique","Quarter 4, 1936",""
"2022/08/02 5:45:48 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-02","No","","Single-player","Carlists","1939","GEA (with or without Vietnam)","1937","TEX","","TEX","","","","1939","Yes, declared war on CSA","Early 1939","Nobody","Nobody","","","1940","","No","1940","","","","","Did not join","","","","Yes, was repelled","Yes, successfully","Italian Republic/Federation","Chile","1938","Did not happen","Bulgaria","The Ottoman Empire","","","","No","Hejaz;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Moscow Accord","1938","1941","Did not happen","","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","Could not push into China","Nobody","Did not end","Mongolia and Tibet","1939","Shandong Clique","Quarter 1, 1937",""
"2022/08/02 5:46:04 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-08-02","No","","Single-player","CNT-FAI","1937","Indochina","1938","PSA","","","PSA","","","1942","Yes, sided with PSA","Mid 1940","Nobody","Nobody","","","1942","","No","1940","","","","","1940","","1940","No","Yes, was repelled","Yes, successfully","Split between starting nations","Argentina","1942","Did not happen","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Iraq;Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","Moscow Accord","1939","1941","Did not happen","1941","Did not happen","Did not happen","1942","Did not happen","Started by Japan","Fengtian alone","Conquered all of China","Republic of East Turkestan","1939","Mongolia and Tibet","1939","Anqing Clique","Quarter 4, 1936",""
"2022/08/02 5:46:18 PM GMT+4","","Dev","The Alpha Dog","Yes","1942","2022-08-02","No","","Single-player","Kingdom of Spain","1938","","1937","CSA","","","","","CSA","1940","Yes, sided with PSA","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","","","Yes, was repelled","Yes, was repelled","Split between starting nations","Argentina","1939","Did not happen","Bulgaria","Nobody","","","","No","Kurdistan;Cyprus;Armenia","Split between starting nations","No","Entente","1939","Did not happen","","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1940","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936",""
"2022/08/02 5:46:34 PM GMT+4","","Dev","The Alpha Dog","Yes","1946","2022-08-02","No","","Single-player","Carlists","1937","GEA (with or without Vietnam)","1938","TEX","","","TEX","","","1940","Yes, declared war on CSA","Early 1940","Reichspakt","Reichspakt","","1940","1941","","No","1940","","","","","1940","","1940","No","No","Yes, successfully","Italian Republic/Federation","Peaceful Reunification","Did not end","Did not happen","The Pact","Nobody","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania","Dominion of India","No","Reichspakt","Before 1938","1941","After 1945","","1942","1938","Did not happen","Did not happen","Started by Japan","Fengtian alone","Pushed back (with or without the Fading Sun)","Republic of East Turkestan","1944","Mongolia and Tibet","1940","Nanjing Clique","Quarter 4, 1936",""
"2022/08/02 5:46:49 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-02","No","","Single-player","CNT-FAI","1937","GEA (with or without Vietnam)","1938","CSA","","","","","CSA","1941","No","Late 1940","Nobody","Nobody","","","","","No","Did not join","","","1940","Internationale (not France)","1940","","1940","No","No","No","Socialist Republic of Italy","Chile","1938","Did not happen","The Pact","The Cairo Pact","","","","No","Hejaz;Kurdistan;Assyria;Cyprus;Armenia;Cyrenaica","Bharatiya Commune","No","Belgrade Pact","1939","Did not happen","Did not happen","1938","1942","Did not happen","Did not happen","Did not happen","Started by Transamur","","","Nobody","Did not end","Mongolia and Tibet","1940","Nanjing Clique","Quarter 3, 1936",""
"2022/08/02 5:47:04 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-08-02","No","","Single-player","CNT-FAI","1941","GEA (with or without Vietnam)","1936","CSA","","","CSA","","","1940","Yes, sided with USA","Early 1940","Nobody","Nobody","","","1942","","No","1940","","","","","1940","","1941","No","Yes, was repelled","Yes, successfully","Italian Republic/Federation","Chile","1938","Did not happen","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Iraq;Kurdistan;Cyprus;Armenia","Split between starting nations","No","Moscow Accord","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1941","Did not happen","Did not happen","Started by Japan","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1941","Left Kuomintang","Quarter 4, 1936",""
"2022/08/02 5:47:20 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-08-02","No","","Single-player","CNT-FAI","1937","GEA (with or without Vietnam)","1937","USA","","","USA","","","1942","Yes, sided with USA","Early 1940","Nobody","Nobody","","","1943","","No","1940","","","","","1940","","1940","No","Yes, was repelled","Yes, successfully","Socialist Republic of Italy","Argentina","1940","Did not happen","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Iraq;Hejaz;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Moscow Accord","1939","Did not happen","Did not happen","1942","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1937","Mongolia and Tibet","1941","Nanjing Clique","Quarter 4, 1936",""
"2022/08/02 5:47:34 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-02","No","","Single-player","CNT-FAI","1939","GEA (with or without Vietnam)","1940","PSA","","","","","PSA","1941","No","Early 1939","Nobody","Nobody","","","1940","","No","1940","","","","","1939","","","","No","Yes, successfully","ANI Italy","Argentina","1938","Did not happen","Bulgaria","The Ottoman Empire","","","","No","Kurdistan;Armenia;Cyrenaica","Bharatiya Commune","Yes","Reichspakt","1939","Did not happen","Did not happen","1940","Did not happen","Did not happen","1941","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","","Shandong Clique","Quarter 1, 1937",""
"2022/08/02 5:47:49 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-02","No","","Single-player","Kingdom of Spain","1938","Indochina","1938","CSA","","","CSA","","","1944","Yes, declared war on CSA","Early 1939","Internationale","Russia","1944","","1940","","No","1939","","","","","1939","","1939","No","No","Yes, successfully","Split between starting nations","Chile","1940","Did not happen","The Pact","Nobody","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania","Split between starting nations","No","Third Internationale","1938","Did not happen","Did not happen","1940","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Left Kuomintang","Quarter 1, 1937",""
"2022/08/02 5:48:03 PM GMT+4","","Dev","The Alpha Dog","Yes","1941","2022-08-02","No","","Single-player","Nobody","Did not end","Nobody","Did not end","Nobody","","","Nobody","","","Did not end","No","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","Did not join","","","","No","No","Split between starting nations","Chile","1937","Did not happen","Bulgaria","Nobody","","","","Yes, and the war did not end","Iraq;Hejaz;Armenia","Dominion of India","No","Third Internationale","1938","","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","","1940","Nanjing Clique","Quarter 4, 1936",""
"2022/08/02 5:48:18 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-02","No","","Single-player","CNT-FAI","1937","GEA (with or without Vietnam)","1936","TEX","","","","","TEX","1941","Yes, declared war on CSA","Mid 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","1940","No","Yes, was repelled","No","Socialist Republic of Italy","Chile","1939","","The Pact","Nobody","Nobody","","","No","Kurdistan;Armenia;Cyrenaica","Split between starting nations","Yes","Entente","Before 1938","1940","Did not happen","Did not happen","1939","1939","Did not happen","1940","No","Zhili Qing","Could not push into China","Nobody","Did not end","Mongolia and Tibet","1938","Nanjing Clique","Quarter 1, 1937",""
"2022/08/02 5:48:34 PM GMT+4","","Dev","The Alpha Dog","Yes","1946","2022-08-02","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","1937","CSA","","","CSA","","","1940","No","Early 1940","Reichspakt","Nobody","","1942","1942","","No","1940","","","","","Did not join","","Did not join","","Yes, successfully","Yes, successfully","Italian Republic/Federation","Peaceful Reunification","Did not end","Did not happen","The Pact","The Cairo Pact","","","","No","Iraq;Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","Moscow Accord","1938","1941","Did not happen","Did not happen","After 1945","After 1945","Did not happen","1945","Started by Transamur","","Could not push into China","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Nanjing Clique","Quarter 1, 1937",""
"2022/08/02 5:48:48 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-08-02","No","","Single-player","Kingdom of Spain","1939","Indochina","1939","CSA","","","","","CSA","1943","No","Early 1940","Nobody","Nobody","","","1943","","No","1940","","","","","1940","","1940","No","Yes, was repelled","Yes, successfully","Split between starting nations","Chile","","Did not happen","The Pact","The Cairo Pact","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Entente","1940","Did not happen","Did not happen","1943","Did not happen","1939","Did not happen","Did not happen","Started by Japan","Nobody","","Nobody","Did not end","Mongolia and Tibet","1940","Shandong Clique","Quarter 1, 1937",""
"2022/08/02 5:49:03 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-02","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","1937","USA","","","USA","","","1941","Yes, sided with USA","Early 1939","Internationale","Russia","1942","","","","No","1939","","","","","1941","1942","1941","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Chile","1938","Argentina","The Pact","The Cairo Pact","","","","No","Iraq;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Third Internationale","1939","1942","Did not happen","Did not happen","Did not happen","1939","Did not happen","1943","Started by Russia","Nobody","Could not push into China","Republic of East Turkestan","1938","Ma Clique","1938","Left Kuomintang","Quarter 1, 1937",""
"2022/08/02 5:49:18 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-08-02","No","","Single-player","Kingdom of Spain","1938","Indochina","1939","Nobody","","","Nobody","","","Did not end","Yes, sided with USA","Mid 1940","Reichspakt","Reichspakt","","1942","","","No","1940","","","","","1940","","","","Yes, successfully","No","ANI Italy","Peaceful Reunification","Did not end","Did not happen","Bulgaria","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Assyria;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","Third Internationale","1938","1941","Did not happen","1939","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","Could not push into China","Republic of East Turkestan","1940","Mongolia and Tibet","1938","Nanjing Clique","Quarter 3, 1936",""
"2022/08/02 5:49:32 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-08-02","No","","Single-player","CNT-FAI","1937","GEA (with or without Vietnam)","1938","PSA","","","","","PSA","1942","Yes, declared war on CSA","Late 1940","Internationale","Russia","1943","","","","No","1940","","","","","1941","","","","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938","Did not happen","Bulgaria","Nobody","","","","Yes, and the war did not end","Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania","Bharatiya Commune","Yes","Moscow Accord","1940","","Did not happen","Did not happen","Did not happen","1940","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Anqing Clique","Quarter 1, 1937",""
"2022/08/02 5:49:47 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-08-02","No","","Single-player","CNT-FAI","1938","GEA (with or without Vietnam)","1936","USA","","","USA","","","1940","Yes, declared war on CSA","Early 1940","Nobody","Nobody","","","1941","","No","1940","","","","","1942","","1942","No","Yes, was repelled","Yes, successfully","Split between starting nations","Chile","1938","Did not happen","The Pact","Nobody","","","","Yes, and the war did not end","Kurdistan;Cyprus;Armenia;Cyrenaica","Split between starting nations","No","","1938","1941","Did not happen","Did not happen","","Did not happen","Did not happen","1942","Started by Transamur","","Could not push into China","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Nanjing Clique","Quarter 1, 1937",""
"2022/08/02 5:50:02 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-08-02","No","","Single-player","Kingdom of Spain","1938","Indochina","1943","USA","","","USA","","","1939","Yes, sided with USA","Early 1940","Nobody","Nobody","","","1941","","No","1940","","","","","1943","","1943","No","Yes, was repelled","","Two Sicilies","Argentina","1940","","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Iraq;Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Donau-Adriabund","1939","1941","Did not happen","Did not happen","Did not happen","Before 1938","1943","Did not happen","No","Nobody","Conquered only the coastal states","Republic of East Turkestan","","Mongolia and Tibet","1941","Nanjing Clique","Quarter 4, 1936",""
"2022/08/02 5:50:17 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-02","No","","Single-player","CNT-FAI","1937","GEA (with or without Vietnam)","1937","TEX","","","","","TEX","1941","No","Late 1940","Reichspakt","Reichspakt","","1943","","","No","1940","","","","","1940","","1941","No","Yes, successfully","Yes, was repelled","Italian Republic/Federation","Chile","1938","Did not happen","The Pact","Nobody","The Cairo Pact","","","No","Kurdistan;Armenia;Cyrenaica","Split between starting nations","Yes","Entente","","Did not happen","Did not happen","","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1941","Nanjing Clique","Quarter 4, 1936",""
"2022/08/02 5:50:33 PM GMT+4","","Dev","The Alpha Dog","Yes","1945","2022-08-02","No","","Single-player","Kingdom of Spain","1939","Nobody","","PSA","","","PSA","","","1940","Yes, sided with PSA","Early 1940","Reichspakt","Reichspakt","","1942","1942","","No","1940","","","","","1940","","1940","No","Yes, successfully","Yes, successfully","Italian Republic/Federation","Argentina","1938","Did not happen","The Pact","The Ottoman Empire","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","Belgrade Pact","1940","1940","Did not happen","Did not happen","Did not happen","Did not happen","1942","Did not happen","No","Nobody","Could not push into China","Republic of East Turkestan","1940","Mongolia and Tibet","1939","Shandong Clique","Quarter 1, 1937",""
"2022/08/02 5:50:48 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-02","No","","Single-player","CNT-FAI","1939","GEA (with or without Vietnam)","1937","USA","","","","","USA","1941","No","Early 1939","Internationale","Russia","1943","","","","No","1940","","","","","1940","1943","1940","Yes, during or after WK2","Yes, was repelled","No","Split between starting nations","Argentina","1938","Did not happen","The Pact","The Cairo Pact","","","","No","Iraq;Kurdistan;Cyprus;Armenia;Cyrenaica","Dominion of India","No","Moscow Accord","Before 1938","Did not happen","Did not happen","Did not happen","1942","1939","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1940","Mongolia and Tibet","1940","Shandong Clique","Quarter 1, 1937",""
