"Отметка времени","If you weren't on master; what branch were you on? Please use the full code name of the branch, not short hand. The 'origin/' isn't needed.","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","Was this an observer game?","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","When in real life did you start this game?","Did you crash?","If you did crash...","Were you in single-player or multi-player?","Who won the Spanish Civil War?","When did the Spanish Civil War end?","Who won the Indochinese War?","When did the Indochinese civil war end?","Who won the American Civil War?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","When did the 2nd Weltkrieg start?","Who won the Franco-German part of the 2nd Weltkrieg?","Who won the Russo-German part of the 2nd Weltkrieg?","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Did National France land on the mainland?","Did Canada land on Britain?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war?","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war?","Who won the Fourth Balkan War? If one side is close to winning put them down.","When did the Fourth Balkan War end?","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert?","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","When did the War in the Desert end?","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","Did the Netherlands go socialist?","Which faction did Greece join?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?","If someone intervened in the League War, who was it?"
"2022/08/13 7:50:08 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Kingdom of Spain","1938","Indochina","1941","PSA","","","","PSA","","1941","Yes, sided with USA","Late 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","1941","No","No","No","Socialist Republic of Italy","Chile","1938","Did not happen","The Pact","1937","The Ottoman Empire","","","","1940","Yes, and OTT won the war","Iraq;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","Reichspakt","1938","Did not happen","Did not happen","1940","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Anqing Clique","Quarter 1, 1937",""
"2022/08/13 7:50:27 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Carlists","1938","GEA (with or without Vietnam)","1938","USA","","","","","USA","1941","No","Early 1940","Internationale","Russia","1940","","","","No","1940","","","","","1940","","1940","Yes, before WK2","No","No","Socialist Republic of Italy","Chile","1938","Did not happen","The Pact","1937","The Ottoman Empire","","","","1939","No","Hejaz;Assyria;Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","Moscow Accord","1939","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Mongolia and Tibet","1940","Left Kuomintang","Quarter 4, 1936",""
"2022/08/13 7:50:46 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Carlists","1938","GEA (with or without Vietnam)","1937","Nobody","","","","Nobody","","Did not end","No","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","1941","","1940","No","No","No","Socialist Republic of Italy","Peaceful Reunification","Did not end","Did not happen","The Pact","1937","Nobody","The Ottoman Empire","","","1940","No","Iraq;Kurdistan;Armenia;Cyrenaica","Split between starting nations","Yes","Moscow Accord","1938","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1937","Mongolia and Tibet","1938","Nanjing Clique","Quarter 1, 1937",""
"2022/08/13 7:51:05 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Carlists","1938","GEA (with or without Vietnam)","1936","CSA","","","","","CSA","1939","No","Late 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","1940","No","No","","Split between starting nations","Argentina","1939","Did not happen","The Pact","1937","Nobody","The Ottoman Empire","","","1941","No","Assyria;Armenia;Cyrenaica","Dominion of India","Yes","Reichspakt","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","1940","Nanjing Clique","Quarter 4, 1936",""
"2022/08/13 7:51:23 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Carlists","1938","Indochina","1938","Nobody","","","","Nobody","","Did not end","No","Mid 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","","","No","No","Split between starting nations","Chile","1938","Did not happen","Bulgaria","1938","The Cairo Pact","","","","1940","No","Kurdistan;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Third Internationale","Did not happen","Did not happen","","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Left Kuomintang","Quarter 4, 1936",""
"2022/08/13 7:51:43 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","CNT-FAI","1938","GEA (with or without Vietnam)","1936","Nobody","","","Nobody","","","Did not end","No","Early 1939","Internationale","Russia","1939","","","","No","1941","","","","","1939","1939","","","No","No","Socialist Republic of Italy","Chile","1938","Did not happen","Bulgaria","1938","Nobody","","The Cairo Pact","","1940","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Tripolitania","Split between starting nations","Yes","Moscow Accord","1938","Did not happen","Did not happen","Did not happen","Did not happen","1938","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1938","Nobody","Did not end","Nanjing Clique","Quarter 4, 1936",""
"2022/08/13 7:52:02 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Carlists","1939","GEA (with or without Vietnam)","1938","CSA","","","","","CSA","1939","No","Early 1939","Nobody","Nobody","","","","","Yes, during or after WK2","1940","1941","CSA","","","1939","","","","Yes, was repelled","No","Split between starting nations","Chile","1937","Did not happen","Bulgaria","1938","The Cairo Pact","","","","1940","No","Iraq;Kurdistan;Cyprus;Armenia;Cyrenaica","Split between starting nations","No","Moscow Accord","1940","Did not happen","Did not happen","Did not happen","Did not happen","1939","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","1939","Nanjing Clique","Quarter 4, 1936",""
"2022/08/13 7:52:21 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","1939","Nobody","","","","","Nobody","Did not end","No","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","1940","No","No","No","Socialist Republic of Italy","Chile","1938","","The Pact","1937","The Cairo Pact","","","","1940","Yes, but OTT still lost the war","Iraq;Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Moscow Accord","1939","Did not happen","Did not happen","1938","Did not happen","Did not happen","1941","Did not happen","No","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","1939","Nanjing Clique","Quarter 4, 1936",""
"2022/08/13 7:52:40 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Carlists","1937","Indochina","1939","USA","","","","","USA","1941","No","Mid 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","","","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938","Did not happen","Bulgaria","1937","Nobody","","","","Did not end","No","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Belgrade Pact","1940","Did not happen","Did not happen","1941","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1940","Left Kuomintang","Quarter 4, 1936",""
"2022/08/13 7:52:58 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Kingdom of Spain","1938","Indochina","1939","Nobody","","","","","Nobody","Did not end","No","Early 1940","Nobody","Nobody","","","","","No","Did not join","","","1940","Someone else","1940","","1940","No","No","No","Socialist Republic of Italy","Chile","1938","Did not happen","The Pact","1937","Nobody","","","","Did not end","Yes, and the war did not end","Hejaz;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","Reichspakt","1940","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1938","Nobody","Did not end","Left Kuomintang","Quarter 1, 1937",""
"2022/08/13 7:53:17 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Carlists","1937","GEA (with or without Vietnam)","1938","CSA","","","","CSA","","1941","No","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","","","No","No","Split between starting nations","Chile","1938","Did not happen","Bulgaria","1938","Nobody","Nobody","","","Did not end","No","Iraq;Kurdistan;Armenia","Split between starting nations","Yes","Moscow Accord","1939","1940","Did not happen","Did not happen","Did not happen","Before 1938","Did not happen","Did not happen","No","Nobody","Conquered only the coastal states","Kumul Khanate","1939","Mongolia and Tibet","1939","Left Kuomintang","Quarter 4, 1936",""
"2022/08/13 7:53:37 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Kingdom of Spain","1938","Nobody","Did not end","Nobody","","Nobody","","","","Did not end","No","Mid 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","1940","No","No","No","Socialist Republic of Italy","Argentina","1939","Did not happen","The Pact","1938","Nobody","","","","Did not end","No","Kurdistan;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Moscow Accord","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Nobody","Did not end","Anqing Clique","Quarter 4, 1936",""
"2022/08/13 7:53:55 PM GMT+4","","Dev","miwaco","Yes","1940","2022-08-13","No","","Single-player","Carlists","1939","GEA (with or without Vietnam)","1938","Nobody","","","","Nobody","","Did not end","No","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","","","No","No","Split between starting nations","Chile","1938","Did not happen","Bulgaria","1938","Nobody","","","","Did not end","No","Iraq;Kurdistan;Cyprus;Armenia;Cyrenaica","Split between starting nations","No","Moscow Accord","1940","Did not happen","Did not happen","","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Left Kuomintang","Quarter 4, 1936",""
"2022/08/13 7:54:15 PM GMT+4","","Dev","miwaco","Yes","1940","2022-08-13","No","","Single-player","CNT-FAI","1939","GEA (with or without Vietnam)","1937","Nobody","","","Nobody","","","Did not end","No","Early 1939","Internationale","Russia","1940","","","","No","1939","","","","","1939","1940","","","No","No","Split between starting nations","Chile","1939","Did not happen","Bulgaria","1938","Nobody","","","","Did not end","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","Moscow Accord","1939","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Mongolia and Tibet","1939","Nanjing Clique","Quarter 4, 1936",""
"2022/08/13 7:54:36 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Carlists","1938","GEA (with or without Vietnam)","1937","CSA","","CSA","","","","1941","No","Mid 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","Did not join","","No","No","Socialist Republic of Italy","Argentina","1940","Did not happen","The Pact","1937","The Cairo Pact","","","","1939","Yes, but OTT still lost the war","Iraq;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Belgrade Pact","Did not happen","Did not happen","Did not happen","1940","1941","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1939","Ma Clique","1940","Anqing Clique","Quarter 1, 1937",""
"2022/08/13 7:54:55 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Carlists","1938","Indochina","1938","Nobody","","","","","Nobody","Did not end","No","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","Did not join","","Did not join","","No","No","Socialist Republic of Italy","Chile","1938","Did not happen","The Pact","","Nobody","","","","Did not end","No","Iraq;Hejaz;Kurdistan;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Moscow Accord","1940","1941","Did not happen","Did not happen","Did not happen","1941","Did not happen","Did not happen","No","Nobody","Could not push into China","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936",""
"2022/08/13 7:55:14 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Kingdom of Spain","1938","Indochina","1940","Nobody","","","","Nobody","","Did not end","No","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","1941","","1941","No","No","No","Split between starting nations","Chile","1938","Did not happen","The Pact","1937","The Cairo Pact","","","","1941","No","Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","Yes","Reichspakt","1938","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Anqing Clique","Quarter 4, 1936",""
"2022/08/13 7:55:37 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Carlists","1938","Indochina","1938","TEX","","","","","TEX","1940","No","Mid 1940","Nobody","Nobody","","","","","No","1940","","","","","Did not join","","Did not join","","No","No","ANI Italy","Chile","1938","Did not happen","The Pact","1938","Nobody","","","","Did not end","No","Iraq;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Donau-Adriabund","1938","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1938","","1940","Nanjing Clique","Quarter 4, 1936",""
"2022/08/13 7:55:57 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Carlists","1938","GEA (with or without Vietnam)","1936","CSA","","","","","CSA","1940","No","Late 1940","Nobody","Nobody","","","","","Yes, during or after WK2","1940","1941","CSA","","","1940","","Did not join","","No","No","Socialist Republic of Italy","Chile","1938","Did not happen","The Pact","1937","Nobody","Nobody","","","Did not end","No","Iraq;Kurdistan;Assyria;Armenia;Cyrenaica","Split between starting nations","No","Moscow Accord","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1940","Mongolia and Tibet","1938","Anqing Clique","Quarter 4, 1936",""
"2022/08/13 7:56:18 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Carlists","1938","Indochina","1936","CSA","","","","","CSA","1940","No","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","1941","","1941","No","No","No","Split between starting nations","Chile","1939","Did not happen","The Pact","1937","The Ottoman Empire","","","","1940","Yes, and OTT won the war","Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","Belgrade Pact","Did not happen","Did not happen","","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1939","Nanjing Clique","Quarter 4, 1936",""
"2022/08/13 7:56:37 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Carlists","1939","Nobody","Did not end","USA","USA","","","","","1938","No","Mid 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","1940","No","No","No","Socialist Republic of Italy","Chile","1938","Did not happen","The Pact","1937","The Cairo Pact","","","","1939","Yes, but OTT still lost the war","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Moscow Accord","1940","Did not happen","Did not happen","1938","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1940","Ma Clique","1938","Left Kuomintang","Quarter 4, 1936",""
"2022/08/13 7:57:07 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Kingdom of Spain","1938","Indochina","1938","Nobody","","","Nobody","","","Did not end","Yes, sided with USA","Early 1939","Internationale","Russia","1940","","","","No","1939","","","","","1939","","1939","No","No","No","Split between starting nations","Chile","1938","Did not happen","The Pact","1938","The Cairo Pact","","","","1939","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Moscow Accord","1938","1941","Did not happen","Did not happen","Did not happen","1938","Did not happen","Did not happen","No","Nobody","Conquered only the coastal states","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936",""
"2022/08/13 7:57:30 PM GMT+4","","Dev","miwaco","Yes","1941","2022-08-13","No","","Single-player","Carlists","1938","Nobody","Did not end","USA","","USA","","","","1940","No","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","1941","","","","No","No","Split between starting nations","Chile","1939","Did not happen","Bulgaria","1938","Nobody","","","","Did not end","No","Hejaz;Kurdistan;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Third Internationale","Did not happen","Did not happen","Did not happen","1940","","1938","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Left Kuomintang","Quarter 4, 1936",""
